Date,Time,F1,F2,F3,F4,F5,F6,F7,Top Tank,P1,P2,P3,Unknown,Bottom Tank
07-07-2020,15:27:43,-0.016152,-0.015669,-0.011634,-0.013678999999999998,-1.239088,3.1502380000000003,-0.006703,0.319064,-637.126304,3.063814,809.9445450000001,-12.872986000000001,0.499216
07-07-2020,15:27:44,-0.017849,-0.015913,-0.012381999999999999,-0.017256,-1.236108,3.152053,-0.013547,0.319308,-637.122126,2.812348,809.01888,-12.670392999999999,0.497929
07-07-2020,15:27:45,-0.018680000000000002,-0.015707,-0.011937999999999999,-0.015608000000000002,-1.23739,3.135393,-0.008017,0.32379,-637.138835,3.040422,803.127795,-12.980758,0.497883
07-07-2020,15:27:46,-0.019431999999999998,-0.01619,-0.011469,-0.017308,-1.239768,3.137168,-0.012824,0.320708,-637.136747,2.218769,808.364733,-13.056783,0.496697
07-07-2020,15:27:47,-0.017571,-0.013163,-0.012442,-0.017516999999999998,-1.2419870000000002,3.140437,-0.012101,0.327033,-637.151784,3.013688,798.854116,-12.324522,0.49753000000000003
07-07-2020,15:27:48,-0.01661,-0.014384000000000001,-0.014403999999999998,-0.014376,-1.2406979999999999,3.15636,-0.01116,0.321683,-637.12338,3.105586,812.324706,-12.357104,0.495946
07-07-2020,15:27:48,-0.018763,-0.011583,-0.013687999999999999,-0.015707,-1.237,3.144719,-0.006222999999999999,0.321704,-637.144266,2.8207020000000003,810.232771,-12.42561,0.496342
07-07-2020,15:27:49,-0.018744999999999998,-0.014861000000000001,-0.010897,-0.015903999999999998,-1.242883,3.141485,-0.01211,0.325966,-637.1634809999999,2.8332330000000003,800.392991,-12.235548,0.496409
07-07-2020,15:27:50,-0.022133,-0.016612000000000002,-0.013563999999999998,-0.015965,-1.24561,3.144241,-0.006589,0.327804,-637.130899,2.8177779999999997,805.4749559999999,-12.432293,0.49615699999999996
07-07-2020,15:27:51,-0.017676,-0.015721000000000002,-0.013328,-0.016138,-1.252301,3.1466790000000002,-0.011001,0.32355100000000003,-637.1572150000001,2.4046540000000003,813.839771,-12.471141000000001,0.495701
07-07-2020,15:27:52,-0.015415,-0.019118,-0.011015,-0.018538,-1.2477989999999999,3.156821,-0.007427,0.325469,-637.139253,3.253041,803.615272,-12.392192,0.495464
07-07-2020,15:27:53,-0.020579,-0.017521000000000002,-0.014544999999999999,-0.014778,-1.252,3.145957,-0.006203,0.322896,-637.140506,2.515767,816.0378059999999,-12.428533999999999,0.49539799999999995
07-07-2020,15:27:54,-0.017818,-0.012267,-0.016984,-0.01356,-1.251886,3.144986,-0.008212,0.328433,-637.1467719999999,3.1486110000000003,804.227648,-13.282351,0.49530100000000005
07-07-2020,15:27:55,-0.019201,-0.017927000000000002,-0.013356999999999999,-0.014562,-1.252126,3.147095,-0.007317000000000001,0.327443,-637.130063,2.67826,806.391013,-12.935227000000001,0.494936
07-07-2020,15:27:56,-0.021909,-0.013805000000000001,-0.013465000000000001,-0.016041999999999997,-1.246234,3.140109,-0.009928,0.323879,-637.1342400000001,2.854537,810.562768,-12.641988000000001,0.49455600000000005
07-07-2020,15:27:57,-0.01659,-0.017912,-0.016037,-0.016509,-1.246607,3.138843,-0.006548,0.326356,-637.136747,2.390869,805.259831,-12.205472,0.495047
07-07-2020,15:27:58,-0.015156999999999999,-0.014636000000000001,-0.014057,-0.016661000000000002,-1.244248,3.148646,-0.00903,0.328735,-637.156379,3.189547,803.550526,-12.147827000000001,0.494385
07-07-2020,15:27:59,-0.019055000000000002,-0.014485,-0.013536000000000001,-0.016233,-1.235284,3.148503,-0.007189,0.330959,-637.1208730000001,3.09932,797.688263,-12.209649,0.494042
07-07-2020,15:27:59,-0.016059,-0.017728,-0.015274000000000001,-0.014715,-1.238913,3.158014,-0.011913,0.32348899999999997,-637.1375820000001,2.07591,821.374162,-12.725114,0.49307799999999996
07-07-2020,15:28:00,-0.018476,-0.015191,-0.017488,-0.018296,-1.242883,3.149563,-0.012779,0.32740199999999997,-637.129645,2.6561209999999997,800.503687,-12.790696,0.49358599999999997
07-07-2020,15:28:01,-0.016756,-0.012022,-0.014112000000000001,-0.016127000000000002,-1.2455450000000001,3.134382,-0.011858,0.325984,-637.130063,2.666564,817.486037,-13.662057,0.49281499999999995
07-07-2020,15:28:02,-0.018424,-0.017373,-0.01341,-0.014556999999999999,-1.251659,3.131497,-0.0059689999999999995,0.329602,-637.149278,3.027473,800.2284099999999,-13.575589,0.493642
07-07-2020,15:28:03,-0.014722999999999998,-0.017494,-0.016423,-0.013678999999999998,-1.246504,3.132838,-0.00757,0.330386,-637.149696,2.6431709999999997,817.987299,-13.219693,0.492385
07-07-2020,15:28:04,-0.016962,-0.014416,-0.011367,-0.015801,-1.252227,3.138472,-0.0067480000000000005,0.331154,-637.162645,2.869575,807.600308,-12.575571,0.492907
07-07-2020,15:28:05,-0.015571999999999999,-0.017582,-0.014768,-0.018123,-1.250326,3.134057,-0.008967000000000001,0.331226,-637.135076,1.9831759999999998,805.591499,-12.24975,0.49262799999999995
07-07-2020,15:28:06,-0.016225999999999997,-0.018046,-0.010693000000000001,-0.012662,-1.2440360000000001,3.138693,-0.006445,0.33034,-637.140506,3.169079,815.283824,-13.466147,0.492385
07-07-2020,15:28:07,-0.016627,-0.017863,-0.01726,-0.012023,-1.2432729999999999,3.136629,-0.014836000000000002,0.32695100000000005,-637.140924,2.8336509999999997,808.4111,-12.848759,0.49168500000000004
07-07-2020,15:28:08,-0.01429,-0.014103999999999998,-0.015951,-0.016266,-1.2433450000000001,3.142055,-0.010118,0.328584,-637.145101,1.884177,806.6976179999999,-13.65412,0.49126899999999996
07-07-2020,15:28:09,-0.015469,-0.016583,-0.011264,-0.01736,-1.2381469999999999,3.141391,-0.008265999999999999,0.32849,-637.153038,2.423452,816.87032,-12.834974,0.492179
07-07-2020,15:28:09,-0.016585,-0.016441,-0.014293,-0.013525,-1.241558,3.1325939999999997,-0.013956,0.33021799999999996,-637.143012,3.230484,808.247354,-12.557191,0.49181800000000003
07-07-2020,15:28:10,-0.01848,-0.014057,-0.012265999999999999,-0.019524,-1.2411450000000002,3.13255,-0.0070739999999999996,0.33476300000000003,-637.129645,2.9472709999999998,806.780326,-13.060542,0.49008900000000005
07-07-2020,15:28:11,-0.019299,-0.01619,-0.015851,-0.016013999999999997,-1.242669,3.136939,-0.013175999999999998,0.332652,-637.1375820000001,2.7480189999999998,806.521341,-12.954442,0.491676
07-07-2020,15:28:12,-0.01962,-0.017052,-0.010997,-0.016713,-1.244052,3.138423,-0.009809,0.332629,-637.1317339999999,2.5959689999999997,813.5828740000001,-12.577658999999999,0.49048800000000004
07-07-2020,15:28:13,-0.017562,-0.019437,-0.012502,-0.013008,-1.24235,3.143925,-0.007444,0.334489,-637.1484429999999,3.103497,804.59524,-12.848341,0.49084399999999995
